Concern,Status,Data analysis status,Fact sheet url,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related or linked to...,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number
Cropland,Backlog,,,,,,,,,,,✓,,,,,,,,Areas of land used for growing crops,,,,,,,,,,,,,,,,,,,,,,,
Crossrail route,Backlog,,,,,,,,,,,,,,,,,,,"Train route linking Reading and Heathrow in the west with Shenfield and Abbey Wood in the east, via tunnels under central London",,,,,,,,,,Crossrail,,,,,,,,,,,,,
Crossrail stations,Backlog,,,,,,,,,,,,,,,,,,,"Stations on the train route linking Reading and Heathrow in the west with Shenfield and Abbey Wood in the east, via tunnels under central London",,,,,,,,,,Crossrail,,,,,,,,,,,,,
Design codes,Next,,,,,,,,,,,,,,,,,,,Geographical areas covered by a design code,,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,3,27
Designated neighbourhood forums,Backlog,,,,,,,,,,,,,,,,,,,Organisations or groups empowered to lead the neighbourhood planning process in a neighbourhood area where there is no town or parish council,,,✓,,,,,,,,,,,,,,,,,,,,
Designated open space,Backlog,,,,,,,,,,,,,,,,,,,Land laid out as a public garden or used for the purposes of public recreation,,,✓,,,,,,,Greater London Authority,,,,,,,,,,,,,
Developer contributions,On the platform,,,,,,,,,,✓,,,,,,,,,Financial or physical contributions from developers towards the cost of providing appropriate infrastructure and services to support their development,Infrastucture Funding,,,,,✓,✓,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,Annually,Planning applications & decisions,,,,,,,16,34
Development consent order boundary,Archived,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development plans and timetables,In development,,,,,,,✓,,,,,,,,,,,,The status of emerging local plans for local planning authorities,Local Plans,,✓,,,✓,✓,Yes,,Local planning authorities;Planning inspectorate,,,,,,,,,,,New local plan policy team,2,26
Development risk and coal resource areas,Backlog,,,,,,,,,,,,,,,,,,,Areas which contain recorded features which could cause risk from the legacy of coal mining operations,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Doorstep greens,Backlog,,,,,,,,,,,,,,,,,,,New or renovated areas of public open space close to people’s homes that can be enjoyed permanently by the local community,,,,,,,,,,Natural England,,,,,,,,,,,,,
Drainage agreements and consents,Backlog,,,,,,,,,,,,,,,,,,,"Agreements in place to drain buildings in combination into an existing sewer through a private sewer, or consent for a building, or building extension to be built over or near a drain, sewer or disposal main",,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
